created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 14 03:16:33 +0000 2023;1724265033465753953;"@Opiniku95098012 Yg hebat bapaknya dong berarti ? Pak jokowi, membawa indonesia ke tingkat dunia. Mulai menjadi ketua asean, menjadi presiden G 20. Membawa indonesia menjadi tuan rumah piala dunia U 20 dan U 17. Indoneaia bisa memiliki saham mayoritas di freeport.";0;0;0;0;in;1604648083606110209;1724220501621628961;dinkisot46;https://twitter.com/dinkisot46/status/1724265033465753953
Tue Nov 14 02:38:38 +0000 2023;1724255489914257451;"Hanya Ganjar Pranowo Capres yang berani Tolak Israel saat piala Dunia U-20 https://t.co/QkRjJHSpFz";0;0;0;0;in;1618587232599937025;1724255489914257451;DANAUBERITA;https://twitter.com/DANAUBERITA/status/1724255489914257451
Tue Nov 14 02:33:52 +0000 2023;1724254291316330697;"Hanya Ganjar Pranowo Capres yang berani tolak Israel saat Piala Dunia U-20 https://t.co/AvhcOOdSb2";0;1;0;0;in;1574879482715971615;1724253974646165861;GanjarBanten;https://twitter.com/GanjarBanten/status/1724254291316330697
Tue Nov 14 01:50:31 +0000 2023;1724243380765630902;"Hanya Ganjar yang berani Tolak Israel saat Piala Dunia U-20 #Ganjar #GBKKalteng #GBKBaritoSelatan  #GrandeFratello #adp2023 #earthquake https://t.co/3fswJkMGyP";0;0;0;2;in;1570943460815044608;1724243380765630902;andina_my;https://twitter.com/andina_my/status/1724243380765630902
Tue Nov 14 01:37:07 +0000 2023;1724240010046849064;"Hanya ganjar capres yang berani tolak israel saat piala dunia u-20. #Ganjarmahfud #ganjarmahfudpilihanterbaik  #GanjarmahfudBawaKemajuan #ganjarmahfud2024  #ganjarpresiden https://t.co/tGpQsGEHoy";0;0;0;1;in;1584441641011933185;1724240010046849064;dikayunas7;https://twitter.com/dikayunas7/status/1724240010046849064
Tue Nov 14 01:36:09 +0000 2023;1724239765111702013;"Ganjar bela palestina dan berani tolak osrael saat piala dunia u-20. #Ganjarmahfud #ganjarmahfudpilihanterbaik  #GanjarmahfudBawaKemajuan #ganjarmahfud2024  #ganjarpresiden https://t.co/wtrrOgX0kd";0;0;0;1;in;1584441641011933185;1724239765111702013;dikayunas7;https://twitter.com/dikayunas7/status/1724239765111702013
Tue Nov 14 00:56:31 +0000 2023;1724229790545375328;"Soroti Aksi Bela Palestina, Hanya Ganjar Pranowo Capres yang berani tolak Israel saat Piala Dunia U-20! #GanjarCapres #GanjarMahfud2024 https://t.co/O1fIhKxM4G";0;0;0;0;in;1618583727147479041;1724229790545375328;GanjarAdi2;https://twitter.com/GanjarAdi2/status/1724229790545375328
Tue Nov 14 00:56:27 +0000 2023;1724229775059996847;"Soroti Aksi Bela Palestina, Hanya Ganjar Pranowo Capres yang berani tolak Israel saat Piala Dunia U-20! #GanjarCapres #GanjarMahfud2024 https://t.co/btvSe9bR90";0;0;0;0;in;1618584887086428161;1724229775059996847;ganjaristi;https://twitter.com/ganjaristi/status/1724229775059996847
Tue Nov 14 00:28:41 +0000 2023;1724222787529900320;"Hanya Ganjar Pranowo Capres Yang Berani Tolak Israel Saat Piala Dunia U-20.  #ganjarpranowo #mahfudmd #ganjarmahfud2024 #fyp #fypシ #fypシ゚viral #beritaviral #viral https://t.co/5D2ICJHuAB";0;0;0;0;in;1396747676864053249;1724222787529900320;yulrahma45;https://twitter.com/yulrahma45/status/1724222787529900320
Tue Nov 14 00:09:54 +0000 2023;1724218060872262068;"Soroti aksi bela Palestina, Relawan: hanya Ganjar Pranowo Capres yang berani tolak Israel saat Piala Dunia U-20 https://t.co/cpBlfXh3zI";0;0;0;0;in;1618623307955458049;1724218060872262068;LonaNovember;https://twitter.com/LonaNovember/status/1724218060872262068
Tue Nov 14 00:01:13 +0000 2023;1724215874326868352;"Hanya Ganjar Capres yang berani tolak Israel saat Piala Dunia U-20 https://t.co/PWJpSUL6te";0;0;0;0;in;1564511913052340227;1724215874326868352;devan_r7;https://twitter.com/devan_r7/status/1724215874326868352
Tue Nov 14 00:01:08 +0000 2023;1724215853313651080;"Hanya Ganjar Capres yang berani tolak Israel saat Piala Dunia U-20 https://t.co/K8Jl7hSVcT";0;0;0;0;in;1564511913052340227;1724215853313651080;devan_r7;https://twitter.com/devan_r7/status/1724215853313651080
Mon Nov 13 22:51:22 +0000 2023;1724198295030170088;"Soroti aksi bela Palestina, hanya Ganjar pranowo capres yg berani tolak Israel saat piala Dunia U-20!!  #GanjarBawaKemajuan #GanjarMahfud2024  #GanjarMahfudPilihanRakyat https://t.co/o5652GCRDW";0;0;0;0;in;1653747212378345472;1724198295030170088;jiwapemuda4444;https://twitter.com/jiwapemuda4444/status/1724198295030170088
